application_id,country_of_applicant,application_date,education_of_employee,has_job_experience,requires_job_training,visa_type,processing_center,processing_time_days,case_status,destination_country,job_offer,years_experience,documents_complete,previous_visa_rejections,processing_days,visa_status
22057,India,9/16/2025 15:14,Master's,Y,N,Student,Center A,217,Certified,USA,,,No,1,50,Rejected
22058,India,12/19/2025 7:27,High School,Y,Y,Student,Center C,80,Certified,Singapore,,,Yes,2,15,Rejected
22059,India,8/3/2025 13:01,Diploma,Y,N,Work,Center B,147,Certified,UAE,No,2,No,0,59,Rejected
22060,India,11/12/2024 4:43,Master's,N,Y,Tourist,Center B,100,Certified,Singapore,,,No,2,43,Rejected
22061,India,1/6/2025 2:29,High School,N,N,Business,Center A,221,Certified,Australia,,,Yes,1,42,Pending
22062,India,5/1/2024 18:26,Master's,N,N,Work,Center A,16,Certified,USA,Yes,8,No,2,23,Rejected
22063,India,5/18/2024 3:40,Bachelor's,Y,N,Tourist,Center A,163,Certified,UK,,,Yes,1,42,Pending
22064,India,4/10/2025 9:07,Diploma,N,Y,Business,Center A,310,Denied,UK,,,No,2,31,Rejected
22065,India,2/8/2024 1:16,PhD,N,Y,Business,Center B,26,Certified,UAE,,,Yes,1,17,Approved
22066,India,2/13/2025 11:23,High School,Y,N,Student,Center B,193,Denied,Australia,,,No,2,25,Rejected
22067,India,10/29/2024 6:38,Bachelor's,Y,N,Student,Center B,204,Certified,Australia,,,Yes,1,38,Pending
22068,India,3/8/2024 1:52,Bachelor's,Y,N,Work,Center A,39,Certified,Australia,Yes,3,Yes,1,45,Pending
22069,India,3/14/2025 12:04,Diploma,N,Y,Business,Center D,122,Certified,Canada,,,No,1,10,Rejected
22070,India,10/15/2025 18:02,Bachelor's,Y,N,Business,Center B,176,Certified,USA,,,Yes,2,21,Rejected
22071,India,11/8/2025 2:33,Bachelor's,Y,Y,Student,Center A,101,Certified,UK,,,Yes,1,45,Pending
22072,India,11/13/2025 14:41,Master's,Y,Y,Business,Center C,341,Certified,USA,,,Yes,0,44,Pending
22073,India,10/9/2024 0:23,Master's,Y,N,Business,Center C,40,Certified,USA,,,Yes,0,55,Pending
22074,India,3/25/2025 16:19,High School,N,N,Work,Center A,77,Certified,USA,Yes,3,No,2,19,Rejected
22075,India,4/12/2025 12:42,High School,N,N,Student,Center B,185,Certified,Australia,,,Yes,1,42,Pending
22076,India,7/29/2024 11:59,Bachelor's,N,Y,Student,Center B,153,Certified,UAE,,,No,1,40,Rejected
22077,India,7/10/2025 6:28,Diploma,N,N,Student,Center B,32,Certified,UAE,,,Yes,1,36,Pending
22078,India,2/27/2026 21:59,High School,N,Y,Business,Center B,337,Certified,Australia,,,No,0,9,Rejected
22079,India,3/22/2024 20:10,Master's,Y,Y,Work,Center D,174,Certified,UK,No,12,Yes,1,38,Pending
22080,India,6/9/2025 11:17,PhD,Y,Y,Business,Center B,105,Certified,UK,,,Yes,0,24,Approved
22081,India,3/20/2025 23:03,Diploma,Y,N,Student,Center C,50,Certified,UK,,,Yes,2,52,Rejected
22082,India,2/1/2024 22:00,Bachelor's,Y,Y,Business,Center D,205,Certified,UAE,,,No,0,52,Rejected
22083,India,11/2/2025 6:03,Diploma,Y,N,Work,Center B,298,Certified,UAE,No,0,Yes,2,38,Rejected
22084,India,9/22/2025 19:17,Bachelor's,N,N,Work,Center A,14,Certified,USA,No,6,No,2,21,Rejected
22085,India,1/5/2024 0:41,Master's,Y,N,Tourist,Center A,17,Certified,Australia,,,Yes,1,54,Pending
22086,India,2/21/2025 0:20,High School,Y,Y,Student,Center A,64,Certified,Canada,,,Yes,0,43,Pending
22087,India,2/14/2025 10:23,Bachelor's,Y,N,Business,Center A,340,Certified,USA,,,Yes,2,45,Rejected
22088,India,10/1/2024 6:01,Bachelor's,N,N,Tourist,Center B,119,Certified,Germany,,,Yes,1,31,Pending
22089,India,4/13/2024 12:24,Master's,N,Y,Tourist,Center D,122,Certified,UAE,,,No,1,51,Rejected
22090,India,6/1/2025 6:38,Master's,Y,Y,Work,Center C,351,Denied,USA,Yes,11,No,0,53,Rejected
22091,India,5/22/2024 6:30,High School,Y,N,Student,Center D,183,Certified,Australia,,,Yes,2,55,Rejected
22092,India,4/26/2025 4:31,Bachelor's,Y,N,Tourist,Center D,277,Certified,Germany,,,No,2,51,Rejected
22093,India,7/31/2024 19:45,Bachelor's,Y,N,Student,Center A,246,Certified,Singapore,,,Yes,0,9,Approved
22094,India,2/8/2026 22:19,Diploma,N,Y,Student,Center D,215,Certified,USA,,,Yes,1,11,Approved
22095,India,2/7/2026 9:09,PhD,Y,Y,Work,Center D,251,Certified,Australia,No,8,Yes,1,7,Approved
22096,India,4/22/2024 8:19,Bachelor's,Y,N,Work,Center A,99,Certified,Australia,Yes,14,Yes,2,58,Rejected
22097,India,11/24/2024 11:46,Master's,Y,Y,Tourist,Center B,43,Certified,UAE,,,Yes,2,46,Rejected
22098,India,8/14/2025 18:15,Diploma,Y,N,Tourist,Center B,147,Certified,Canada,,,No,0,42,Rejected
22099,India,11/24/2025 11:52,High School,N,N,Work,Center A,240,Certified,USA,Yes,10,No,1,55,Rejected
22100,India,1/7/2025 9:08,Master's,Y,N,Business,Center D,109,Certified,Australia,,,No,0,32,Rejected
22101,India,1/9/2026 4:56,PhD,N,Y,Business,Center B,160,Certified,UK,,,No,2,26,Rejected
22102,India,5/30/2024 17:00,PhD,Y,N,Tourist,Center D,176,Certified,Australia,,,Yes,0,47,Pending
22103,India,2/25/2026 1:44,High School,N,Y,Business,Center C,227,Certified,Canada,,,Yes,0,59,Pending
22104,India,1/10/2025 4:57,High School,Y,Y,Tourist,Center B,168,Certified,Australia,,,Yes,1,15,Approved
22105,India,3/15/2025 1:31,Bachelor's,Y,Y,Student,Center B,143,Certified,UAE,,,No,0,39,Rejected
22106,India,11/18/2025 8:22,High School,Y,Y,Tourist,Center A,14,Certified,Singapore,,,No,2,9,Rejected
22107,India,10/2/2025 11:31,Diploma,N,Y,Business,Center A,141,Certified,USA,,,No,0,37,Rejected
22108,India,5/24/2025 22:36,High School,Y,N,Tourist,Center A,72,Certified,UAE,,,Yes,1,44,Pending
22109,India,4/14/2024 17:22,Bachelor's,N,Y,Business,Center B,118,Certified,USA,,,Yes,2,58,Rejected
22110,India,2/5/2026 6:47,High School,Y,N,Tourist,Center D,162,Certified,Germany,,,Yes,2,14,Rejected
22111,India,1/21/2024 19:01,High School,Y,Y,Work,Center A,265,Denied,USA,No,10,Yes,0,52,Pending
22112,India,9/22/2025 15:50,PhD,Y,N,Student,Center C,71,Certified,Germany,,,Yes,1,57,Pending
22113,India,3/27/2025 4:58,High School,N,Y,Tourist,Center B,221,Certified,UAE,,,No,0,53,Rejected
22114,India,3/7/2025 10:44,Master's,Y,Y,Work,Center A,110,Certified,UK,Yes,7,Yes,0,43,Pending
22115,India,10/21/2025 6:29,Master's,Y,N,Student,Center A,101,Certified,Canada,,,No,2,32,Rejected
22116,India,8/7/2025 17:28,Diploma,Y,Y,Business,Center A,13,Certified,UK,,,No,2,22,Rejected
22117,India,5/31/2024 1:59,High School,Y,N,Work,Center D,310,Certified,Germany,Yes,12,No,1,25,Rejected
22118,India,8/26/2025 9:11,High School,Y,N,Work,Center D,212,Certified,Australia,No,5,No,1,26,Rejected
22119,India,7/24/2025 0:12,Master's,Y,N,Student,Center D,10,Certified,Australia,,,Yes,0,8,Approved
22120,India,1/26/2026 3:59,PhD,Y,Y,Student,Center C,210,Certified,UK,,,No,1,17,Rejected
22121,India,10/25/2024 4:27,High School,N,N,Work,Center B,350,Certified,Australia,Yes,8,Yes,1,7,Approved
22122,India,2/21/2026 11:17,Master's,N,N,Work,Center A,107,Certified,Germany,No,3,No,0,43,Rejected
22123,India,2/14/2025 9:56,Diploma,Y,Y,Tourist,Center C,119,Denied,UAE,,,No,1,57,Rejected
22124,India,3/29/2024 23:07,Diploma,N,Y,Business,Center D,174,Certified,Canada,,,No,2,17,Rejected
22125,India,11/19/2024 4:58,High School,Y,Y,Work,Center C,311,Certified,Singapore,No,2,No,0,40,Rejected
22126,India,3/7/2025 20:39,Master's,N,Y,Student,Center B,22,Certified,USA,,,Yes,0,55,Pending
22127,India,5/29/2024 23:39,Bachelor's,Y,N,Student,Center B,217,Certified,Germany,,,Yes,0,32,Pending
22128,India,3/30/2025 10:11,Diploma,N,N,Student,Center C,261,Denied,Singapore,,,No,2,41,Rejected
22129,India,2/27/2025 22:46,Master's,Y,N,Business,Center A,332,Denied,Germany,,,Yes,2,44,Rejected
22130,India,2/28/2026 10:32,Diploma,N,N,Student,Center C,120,Certified,USA,,,No,1,18,Rejected
22131,India,3/5/2025 2:53,High School,N,N,Work,Center D,197,Certified,USA,No,6,Yes,1,46,Pending
22132,India,12/5/2024 0:30,Bachelor's,Y,N,Work,Center D,104,Certified,Canada,No,10,No,2,13,Rejected
22133,India,5/22/2024 18:09,PhD,N,N,Business,Center A,107,Certified,Canada,,,No,2,46,Rejected
22134,India,11/9/2024 13:27,Diploma,N,N,Business,Center D,154,Certified,Canada,,,Yes,0,54,Pending
22135,India,2/23/2024 14:50,PhD,Y,N,Business,Center A,350,Certified,Australia,,,Yes,0,18,Approved
22136,India,9/17/2025 1:34,Bachelor's,N,Y,Student,Center C,133,Certified,Germany,,,No,1,31,Rejected
22137,India,1/31/2026 20:31,Diploma,N,Y,Student,Center D,234,Certified,UAE,,,No,2,49,Rejected
22138,India,8/1/2025 19:12,Diploma,Y,N,Student,Center B,217,Denied,USA,,,No,2,33,Rejected
22139,India,1/17/2026 9:00,Diploma,Y,Y,Tourist,Center A,124,Certified,Germany,,,No,1,41,Rejected
22140,India,8/4/2024 2:25,High School,Y,Y,Work,Center D,182,Denied,Singapore,No,2,Yes,2,32,Rejected
22141,India,3/7/2025 13:05,Master's,N,N,Student,Center A,305,Certified,Germany,,,Yes,0,25,Pending
22142,India,4/12/2024 9:06,Bachelor's,Y,N,Work,Center B,243,Certified,Canada,No,12,Yes,2,26,Rejected
22143,India,9/29/2024 18:27,High School,Y,N,Tourist,Center C,175,Certified,Canada,,,Yes,1,47,Pending
22144,India,1/25/2024 12:33,Diploma,N,N,Work,Center A,137,Certified,Germany,No,10,Yes,1,54,Pending
22145,India,3/10/2024 18:59,Bachelor's,Y,N,Tourist,Center C,362,Certified,Canada,,,Yes,0,32,Pending
22146,India,10/8/2025 15:00,Master's,Y,N,Work,Center C,355,Certified,Australia,No,1,Yes,0,47,Pending
22147,India,6/25/2024 0:34,Master's,Y,N,Tourist,Center B,219,Certified,USA,,,Yes,2,14,Rejected
22148,India,4/27/2025 9:25,High School,Y,Y,Work,Center A,90,Certified,Singapore,Yes,10,No,2,57,Rejected
22149,India,5/18/2024 21:40,High School,Y,N,Tourist,Center C,39,Certified,Germany,,,No,2,41,Rejected
22150,India,1/18/2024 3:23,Master's,Y,Y,Student,Center B,359,Certified,USA,,,Yes,1,30,Pending
22151,India,12/7/2024 15:00,Master's,N,N,Student,Center A,15,Certified,Australia,,,No,1,53,Rejected
22152,India,1/26/2026 18:24,PhD,Y,Y,Business,Center D,244,Denied,Singapore,,,Yes,0,21,Approved
22153,India,6/23/2024 17:32,Bachelor's,Y,Y,Work,Center A,221,Certified,Canada,No,11,Yes,0,44,Pending
22154,India,5/25/2025 19:46,High School,Y,Y,Tourist,Center B,54,Certified,UK,,,No,1,43,Rejected
22155,India,5/12/2024 18:01,Bachelor's,N,N,Student,Center B,116,Denied,Australia,,,Yes,2,39,Rejected
22156,India,4/25/2024 2:01,Diploma,Y,Y,Work,Center A,91,Certified,UK,No,11,Yes,1,10,Approved
22157,India,8/25/2024 2:31,High School,Y,N,Tourist,Center C,346,Certified,USA,,,Yes,1,22,Approved
22158,India,12/30/2024 22:37,Master's,Y,N,Tourist,Center D,102,Certified,Germany,,,Yes,0,57,Pending
22159,India,12/16/2025 5:14,Master's,N,N,Tourist,Center A,108,Certified,Singapore,,,No,2,25,Rejected
22160,India,1/2/2024 22:13,Bachelor's,Y,N,Tourist,Center A,335,Denied,Canada,,,No,0,10,Rejected
22161,India,2/23/2025 21:18,Bachelor's,Y,Y,Business,Center C,134,Certified,Singapore,,,No,0,26,Rejected
22162,India,3/29/2025 1:53,PhD,Y,N,Work,Center C,72,Denied,Australia,Yes,0,Yes,1,35,Pending
22163,India,7/21/2025 5:17,Diploma,Y,N,Tourist,Center B,276,Denied,Canada,,,No,1,7,Rejected
22164,India,5/8/2025 6:50,Master's,Y,Y,Tourist,Center A,127,Denied,UK,,,Yes,0,51,Pending
22165,India,1/3/2025 0:06,Master's,Y,N,Student,Center B,289,Certified,UK,,,No,1,14,Rejected
22166,India,11/25/2024 11:38,Diploma,N,N,Tourist,Center A,9,Certified,UAE,,,Yes,2,50,Rejected
22167,India,3/18/2024 17:29,Bachelor's,Y,Y,Tourist,Center A,332,Certified,Singapore,,,Yes,1,50,Pending
22168,India,6/19/2025 15:32,Bachelor's,Y,N,Business,Center C,265,Certified,Germany,,,Yes,1,32,Pending
22169,India,5/9/2024 8:23,Diploma,N,N,Tourist,Center B,77,Certified,UK,,,No,2,48,Rejected
22170,India,1/12/2024 12:47,Bachelor's,N,Y,Tourist,Center D,250,Certified,Germany,,,No,0,26,Rejected
22171,India,1/20/2026 5:59,PhD,N,N,Work,Center D,13,Certified,UAE,Yes,2,Yes,2,55,Rejected
22172,India,8/2/2024 8:52,Diploma,N,N,Work,Center B,291,Certified,Australia,No,0,Yes,2,48,Rejected
22173,India,8/21/2024 10:56,PhD,Y,N,Work,Center C,244,Certified,UAE,No,8,No,0,55,Rejected
22174,India,7/25/2024 3:41,Master's,Y,N,Student,Center D,30,Certified,Germany,,,No,2,34,Rejected
22175,India,2/26/2025 0:48,Diploma,N,Y,Tourist,Center C,176,Denied,UK,,,Yes,0,52,Pending
22176,India,6/24/2025 14:06,Bachelor's,Y,N,Work,Center C,363,Certified,USA,No,8,No,1,26,Rejected
22177,India,9/9/2025 1:23,PhD,Y,N,Work,Center A,311,Denied,Germany,Yes,1,Yes,0,58,Pending
22178,India,2/2/2025 12:56,Diploma,Y,N,Student,Center B,331,Denied,Canada,,,Yes,1,43,Pending
22179,India,1/11/2025 0:06,Master's,Y,Y,Student,Center B,28,Certified,USA,,,Yes,1,30,Pending
22180,India,12/27/2025 6:13,Bachelor's,N,N,Tourist,Center B,270,Certified,Singapore,,,Yes,2,50,Rejected
22181,India,6/14/2025 3:18,Master's,Y,N,Tourist,Center C,272,Certified,Germany,,,Yes,1,19,Approved
22182,India,8/13/2024 19:08,Bachelor's,Y,Y,Tourist,Center C,308,Certified,Canada,,,No,2,24,Rejected
22183,India,12/24/2024 11:47,Diploma,N,N,Work,Center D,124,Certified,Singapore,No,8,No,1,22,Rejected
22184,India,8/15/2024 17:42,PhD,Y,Y,Business,Center A,349,Certified,UAE,,,No,0,42,Rejected
22185,India,6/22/2025 21:27,Bachelor's,Y,N,Business,Center A,192,Certified,USA,,,No,1,13,Rejected
22186,India,10/5/2025 2:19,Bachelor's,Y,N,Student,Center D,80,Denied,Germany,,,Yes,2,58,Rejected
22187,India,12/30/2024 7:53,Bachelor's,Y,Y,Work,Center C,215,Certified,Australia,No,6,No,1,22,Rejected
22188,India,5/29/2025 22:52,High School,Y,Y,Tourist,Center A,121,Certified,UAE,,,Yes,0,20,Approved
22189,India,8/5/2025 5:25,High School,Y,Y,Work,Center B,350,Certified,Canada,No,9,Yes,2,17,Rejected
22190,India,1/12/2026 16:09,Bachelor's,Y,Y,Student,Center B,104,Certified,Australia,,,No,1,20,Rejected
22191,India,12/25/2025 15:42,Bachelor's,Y,N,Work,Center B,136,Certified,UK,No,14,Yes,2,29,Rejected
22192,India,8/30/2025 23:35,High School,N,Y,Tourist,Center C,272,Certified,UAE,,,Yes,0,52,Pending
22193,India,2/20/2026 11:50,High School,Y,N,Tourist,Center A,180,Certified,UAE,,,Yes,0,31,Pending
22194,India,7/9/2025 9:25,High School,Y,Y,Tourist,Center C,206,Certified,Germany,,,No,2,10,Rejected
22195,India,6/15/2024 21:18,High School,Y,Y,Tourist,Center B,220,Certified,Germany,,,No,1,7,Rejected
22196,India,1/5/2024 11:44,PhD,N,N,Student,Center B,313,Certified,Canada,,,Yes,0,13,Approved
22197,India,7/11/2024 22:53,Master's,Y,N,Student,Center C,349,Certified,UAE,,,No,0,27,Rejected
22198,India,8/15/2025 23:41,Bachelor's,Y,Y,Business,Center D,123,Certified,Germany,,,Yes,1,46,Pending
22199,India,4/1/2025 21:18,Bachelor's,Y,N,Tourist,Center B,18,Certified,UK,,,Yes,0,22,Approved
22200,India,4/25/2024 12:38,PhD,N,Y,Student,Center D,106,Certified,Singapore,,,Yes,1,44,Pending
22201,India,10/11/2024 16:32,Bachelor's,Y,N,Business,Center D,76,Certified,Singapore,,,No,1,10,Rejected
22202,India,9/14/2024 18:33,Diploma,Y,Y,Tourist,Center B,136,Certified,Singapore,,,No,1,7,Rejected
22203,India,5/16/2024 16:36,Master's,Y,N,Business,Center C,95,Certified,Germany,,,No,1,10,Rejected
22204,India,6/11/2025 23:18,Diploma,N,N,Work,Center B,227,Certified,UAE,No,10,Yes,2,29,Rejected
22205,India,10/25/2025 3:37,High School,Y,Y,Work,Center D,262,Certified,Singapore,No,2,Yes,1,27,Pending
22206,India,1/23/2026 12:50,Diploma,Y,N,Work,Center D,253,Certified,USA,Yes,3,No,1,32,Rejected
22207,India,10/14/2024 13:00,High School,Y,N,Business,Center A,268,Certified,Australia,,,No,2,29,Rejected
22208,India,1/1/2025 18:17,Master's,N,N,Student,Center B,357,Certified,UAE,,,Yes,1,32,Pending
22209,India,4/22/2024 5:48,PhD,Y,Y,Tourist,Center B,231,Certified,UK,,,Yes,2,32,Rejected
22210,India,7/16/2025 2:58,High School,N,N,Work,Center B,111,Certified,UAE,Yes,3,No,0,48,Rejected
22211,India,1/17/2026 17:41,Master's,N,N,Student,Center D,150,Certified,UK,,,No,2,15,Rejected
22212,India,12/12/2025 12:09,Bachelor's,Y,Y,Student,Center D,38,Certified,UAE,,,Yes,0,26,Pending
22213,India,10/30/2024 23:00,PhD,Y,N,Student,Center C,330,Certified,Singapore,,,Yes,0,48,Pending
22214,India,3/24/2024 18:38,PhD,N,Y,Business,Center D,337,Certified,Australia,,,No,2,14,Rejected
22215,India,4/8/2024 4:32,High School,N,N,Student,Center A,252,Certified,Australia,,,Yes,1,30,Pending
22216,India,2/19/2026 15:38,PhD,Y,Y,Tourist,Center A,356,Certified,UK,,,Yes,2,48,Rejected
22217,India,2/9/2024 14:01,High School,Y,Y,Student,Center B,38,Certified,UAE,,,Yes,2,50,Rejected
22218,India,10/12/2024 10:44,Diploma,Y,N,Student,Center D,265,Certified,Australia,,,Yes,2,58,Rejected
22219,India,11/2/2024 3:34,PhD,N,N,Tourist,Center B,109,Certified,Canada,,,No,0,18,Rejected
22220,India,8/30/2024 3:13,PhD,Y,N,Tourist,Center A,146,Certified,UAE,,,No,0,13,Rejected
22221,India,8/12/2024 23:39,PhD,N,N,Work,Center A,136,Certified,Australia,No,11,Yes,0,30,Pending
22222,India,8/31/2025 4:19,Diploma,Y,Y,Business,Center C,21,Certified,USA,,,No,1,23,Rejected
22223,India,3/13/2025 1:59,Diploma,N,N,Tourist,Center D,41,Certified,USA,,,No,0,49,Rejected
22224,India,11/3/2025 8:39,Master's,N,N,Student,Center B,70,Certified,Canada,,,No,1,8,Rejected
22225,India,4/19/2024 3:32,Master's,Y,Y,Work,Center D,45,Certified,Australia,Yes,5,No,2,54,Rejected
22226,India,8/11/2025 12:48,High School,Y,Y,Tourist,Center D,72,Denied,USA,,,Yes,1,55,Pending
22227,India,10/17/2024 8:25,High School,N,N,Tourist,Center D,194,Certified,Singapore,,,Yes,2,52,Rejected
22228,India,1/11/2025 1:52,Bachelor's,N,N,Work,Center C,109,Certified,UAE,No,12,Yes,0,16,Approved
22229,India,8/31/2024 5:32,Bachelor's,Y,Y,Business,Center B,318,Certified,Germany,,,Yes,0,37,Pending
22230,India,6/17/2024 9:56,PhD,N,N,Tourist,Center A,13,Denied,Australia,,,Yes,2,10,Rejected
22231,India,2/28/2026 21:22,High School,Y,Y,Work,Center B,54,Denied,Canada,Yes,9,Yes,1,14,Approved
22232,India,12/7/2025 8:15,High School,Y,N,Student,Center D,10,Certified,Australia,,,No,1,9,Rejected
22233,India,11/25/2024 14:56,PhD,N,N,Tourist,Center C,351,Certified,UK,,,Yes,0,50,Pending
22234,India,6/14/2024 2:24,Diploma,Y,N,Student,Center C,123,Certified,UK,,,No,0,45,Rejected
22235,India,7/4/2024 16:03,Master's,Y,N,Work,Center B,137,Certified,USA,No,9,No,0,43,Rejected
22236,India,2/11/2024 18:33,PhD,N,N,Business,Center A,268,Certified,UK,,,Yes,0,34,Pending
22237,India,1/12/2025 11:28,PhD,N,N,Tourist,Center D,196,Certified,Canada,,,Yes,0,15,Approved
22238,India,3/5/2024 20:46,Bachelor's,Y,Y,Business,Center C,121,Certified,USA,,,Yes,1,48,Pending
22239,India,2/15/2024 21:00,Bachelor's,N,Y,Tourist,Center A,218,Certified,Canada,,,Yes,0,44,Pending
22240,India,7/4/2025 7:31,PhD,Y,N,Business,Center C,287,Certified,UAE,,,Yes,2,56,Rejected
22241,India,6/16/2024 19:48,High School,N,N,Student,Center B,188,Denied,Canada,,,No,1,30,Rejected
22242,India,7/9/2025 23:17,Master's,Y,Y,Work,Center D,190,Certified,UK,No,5,No,0,36,Rejected
22243,India,7/7/2025 6:44,Diploma,Y,Y,Business,Center D,293,Certified,UAE,,,Yes,2,28,Rejected
22244,India,6/24/2024 7:25,High School,N,N,Tourist,Center D,120,Certified,UK,,,Yes,0,37,Pending
22245,India,10/1/2025 12:41,PhD,Y,N,Business,Center B,20,Certified,Canada,,,No,1,48,Rejected
22246,India,7/25/2025 15:49,High School,Y,Y,Student,Center A,225,Certified,UK,,,Yes,0,32,Pending
22247,India,5/16/2024 13:30,PhD,N,N,Student,Center C,191,Certified,UK,,,No,0,50,Rejected
22248,India,1/31/2026 1:02,High School,Y,N,Tourist,Center B,364,Certified,UK,,,No,2,57,Rejected
22249,India,6/5/2025 17:13,PhD,Y,N,Tourist,Center A,246,Certified,Australia,,,Yes,0,15,Approved
22250,India,7/16/2025 2:05,PhD,N,N,Business,Center A,103,Certified,UAE,,,Yes,1,49,Pending
22251,India,6/21/2024 18:17,PhD,Y,N,Work,Center A,338,Certified,UAE,Yes,4,Yes,1,16,Approved
22252,India,4/18/2025 13:09,Master's,Y,N,Business,Center B,104,Certified,Singapore,,,No,1,51,Rejected
22253,India,10/7/2025 21:56,Bachelor's,Y,N,Tourist,Center C,56,Certified,UAE,,,Yes,2,27,Rejected
22254,India,6/12/2025 5:55,High School,N,Y,Work,Center D,188,Certified,Singapore,No,3,No,2,20,Rejected
22255,India,1/28/2025 9:46,High School,Y,N,Work,Center C,225,Certified,Canada,Yes,3,Yes,2,22,Rejected
22256,India,11/19/2025 3:21,High School,N,Y,Work,Center B,249,Denied,Singapore,Yes,9,Yes,0,34,Pending
22257,India,2/22/2024 22:13,High School,Y,N,Work,Center D,62,Certified,Singapore,Yes,0,Yes,0,52,Pending
22258,India,12/30/2024 2:57,PhD,Y,N,Tourist,Center B,259,Certified,Germany,,,No,2,24,Rejected
22259,India,2/12/2025 2:41,Diploma,Y,Y,Tourist,Center B,99,Certified,Canada,,,No,1,52,Rejected
22260,India,5/3/2024 17:20,Master's,Y,N,Work,Center A,59,Certified,UAE,No,4,No,2,59,Rejected
22261,India,8/7/2025 5:07,High School,N,Y,Work,Center C,298,Certified,USA,No,11,No,0,51,Rejected
22262,India,2/7/2024 11:35,PhD,Y,N,Tourist,Center A,53,Denied,UK,,,No,0,41,Rejected
22263,India,9/14/2025 17:34,Master's,Y,Y,Work,Center A,66,Certified,UK,No,4,No,1,25,Rejected
22264,India,1/10/2024 21:17,Master's,Y,Y,Tourist,Center A,268,Certified,Germany,,,Yes,1,54,Pending
22265,India,9/15/2025 1:32,High School,Y,N,Tourist,Center A,215,Certified,USA,,,No,1,51,Rejected
22266,India,7/25/2025 7:30,Master's,Y,N,Tourist,Center B,54,Certified,Australia,,,Yes,1,39,Pending
22267,India,10/1/2024 21:09,Diploma,Y,N,Student,Center B,243,Certified,Singapore,,,Yes,0,49,Pending
22268,India,4/28/2024 9:06,Master's,Y,N,Business,Center B,56,Denied,Canada,,,Yes,2,58,Rejected
22269,India,7/20/2024 21:31,Bachelor's,Y,Y,Business,Center A,100,Certified,Australia,,,No,0,58,Rejected
22270,India,4/12/2025 14:50,Master's,Y,Y,Tourist,Center D,73,Certified,USA,,,No,0,30,Rejected
22271,India,12/4/2024 4:06,Bachelor's,N,Y,Business,Center B,149,Certified,Germany,,,Yes,1,24,Approved
22272,India,7/20/2024 17:48,PhD,Y,Y,Work,Center C,21,Certified,USA,Yes,9,No,2,21,Rejected
22273,India,3/10/2025 1:44,PhD,N,N,Student,Center A,254,Certified,Germany,,,Yes,2,14,Rejected
22274,India,9/25/2025 5:48,High School,Y,N,Work,Center A,55,Certified,Australia,Yes,8,Yes,0,17,Approved
22275,India,10/7/2025 7:19,Master's,N,N,Business,Center D,121,Denied,Australia,,,No,2,11,Rejected
22276,India,11/16/2024 17:46,High School,Y,N,Tourist,Center A,151,Certified,USA,,,No,2,23,Rejected
22277,India,7/22/2025 6:14,Diploma,N,N,Student,Center C,72,Certified,USA,,,No,2,12,Rejected
22278,India,3/15/2025 12:45,Master's,Y,N,Business,Center B,38,Certified,Singapore,,,Yes,0,29,Pending
22279,India,8/25/2025 6:05,Master's,Y,N,Business,Center C,30,Certified,UK,,,No,1,12,Rejected
22280,India,1/24/2026 12:17,PhD,Y,Y,Business,Center B,321,Certified,Germany,,,No,2,37,Rejected
22281,India,5/25/2024 2:59,Bachelor's,Y,Y,Student,Center D,285,Denied,UK,,,No,1,7,Rejected
22282,India,2/9/2025 14:37,Diploma,Y,N,Work,Center A,157,Denied,Canada,Yes,5,Yes,0,27,Pending
22283,India,6/28/2025 12:20,Bachelor's,Y,Y,Work,Center A,122,Certified,Canada,Yes,3,Yes,2,48,Rejected
22284,India,8/18/2025 10:22,Bachelor's,Y,N,Business,Center B,169,Certified,USA,,,Yes,0,10,Approved
22285,India,1/25/2026 21:31,Bachelor's,Y,Y,Business,Center A,48,Certified,Australia,,,No,0,10,Rejected
22286,India,4/26/2025 8:14,Bachelor's,Y,N,Tourist,Center A,133,Certified,Canada,,,Yes,2,50,Rejected
22287,India,1/26/2025 2:51,Diploma,Y,Y,Student,Center A,202,Certified,Canada,,,No,1,14,Rejected
22288,India,2/20/2026 20:30,PhD,Y,Y,Tourist,Center B,160,Certified,UK,,,No,2,11,Rejected
22289,India,6/14/2025 9:47,Diploma,Y,N,Student,Center D,47,Certified,UK,,,No,2,44,Rejected
22290,India,4/27/2024 9:35,Bachelor's,Y,Y,Business,Center C,225,Certified,Singapore,,,No,0,33,Rejected
22291,India,8/25/2024 9:40,Diploma,Y,N,Student,Center C,219,Certified,Singapore,,,Yes,1,55,Pending
22292,India,1/19/2025 20:34,Master's,Y,Y,Business,Center C,134,Certified,Canada,,,Yes,0,35,Pending
22293,India,4/16/2025 21:15,Bachelor's,Y,N,Business,Center C,359,Certified,USA,,,No,1,50,Rejected
22294,India,9/19/2025 12:05,High School,Y,N,Work,Center B,276,Certified,UK,No,7,No,1,44,Rejected
22295,India,10/5/2025 22:44,Diploma,Y,Y,Business,Center B,171,Certified,Canada,,,No,1,37,Rejected
22296,India,2/19/2026 5:13,Diploma,Y,Y,Business,Center D,239,Certified,Australia,,,Yes,2,51,Rejected
22297,India,8/16/2025 19:57,Master's,N,Y,Business,Center B,148,Certified,UK,,,No,2,18,Rejected
