case_number,employer_name,job_title,salary,case_received_date,decision_date,case_status,work_city,work_state
CASE101133,NextGen,Data Analyst,97207,2023-04-10,2022-12-17,Denied,Chennai,AP
CASE101134,GlobalSoft,Project Manager,102157,2018-02-21,2019-10-20,Approved,Bangalore,TN
CASE101135,InfoSys,Consultant,174288,2018-01-15,2019-02-11,Approved,Pune,TS
CASE101136,InfoSys,Consultant,133778,2021-09-09,2018-04-30,Approved,Hyderabad,TS
CASE101137,GlobalSoft,Data Analyst,170016,2019-03-17,2020-11-16,Approved,Hyderabad,TS
CASE101138,NextGen,Consultant,164288,2021-02-09,2020-12-31,Approved,Chennai,MH
CASE101139,NextGen,Data Analyst,150573,2019-11-27,2023-06-24,Approved,Chennai,MH
CASE101140,DataWorks,Consultant,160730,2023-03-11,2020-12-24,Approved,Pune,AP
CASE101141,DataWorks,Software Engineer,104186,2018-01-07,2022-03-28,Approved,Chennai,TN
CASE101142,TechCorp,Data Analyst,44960,2022-05-06,2018-06-03,Approved,Hyderabad,AP
CASE101143,InfoSys,Data Analyst,58781,2020-04-05,2023-11-05,Approved,Bangalore,TS
CASE101144,DataWorks,AI Engineer,71126,2022-11-12,2022-02-18,Approved,Hyderabad,TN
CASE101145,NextGen,Consultant,146034,2021-06-22,2022-03-26,Approved,Pune,TS
CASE101146,GlobalSoft,Consultant,57883,2022-01-11,2023-02-28,Approved,Bangalore,TN
CASE101147,NextGen,Data Analyst,69782,2021-10-20,2021-10-28,Approved,Bangalore,KA
CASE101148,InfoSys,Software Engineer,96387,2021-10-22,2018-03-23,Approved,Hyderabad,MH
CASE101149,NextGen,Software Engineer,73746,2023-04-30,2022-05-23,Approved,Bangalore,MH
CASE101150,TechCorp,Software Engineer,106266,2022-09-18,2022-03-12,Approved,Bangalore,TS
CASE101151,InfoSys,Consultant,40056,2021-08-03,2023-09-14,Approved,Chennai,TS
CASE101152,GlobalSoft,AI Engineer,71457,2023-06-09,2019-10-24,Approved,Bangalore,KA
CASE101153,TechCorp,Data Analyst,173315,2022-06-16,2023-03-07,Approved,Pune,AP
CASE101154,InfoSys,Project Manager,172773,2021-02-03,2021-06-16,Approved,Bangalore,TN
CASE101155,GlobalSoft,AI Engineer,113839,2020-11-02,2023-09-09,Pending,Chennai,KA
CASE101156,TechCorp,Project Manager,120636,2021-03-15,2019-07-20,Denied,Mumbai,KA
CASE101157,TechCorp,AI Engineer,147697,2019-04-23,2020-01-30,Approved,Mumbai,TS
CASE101158,InfoSys,Software Engineer,106483,2019-09-23,2021-07-29,Pending,Pune,TS
CASE101159,DataWorks,Consultant,60505,2019-12-16,2023-09-12,Approved,Pune,AP
CASE101160,TechCorp,Project Manager,177625,2022-08-04,2020-11-21,Approved,Bangalore,AP
CASE101161,TechCorp,AI Engineer,73525,2018-04-25,2023-09-13,Pending,Bangalore,TS
CASE101162,GlobalSoft,Consultant,136008,2019-05-24,2022-03-31,Denied,Mumbai,MH
CASE101163,NextGen,Project Manager,84348,2021-03-21,2023-04-09,Approved,Mumbai,AP
CASE101164,InfoSys,Data Analyst,47273,2018-02-26,2019-05-13,Approved,Hyderabad,KA
CASE101165,InfoSys,AI Engineer,104236,2019-01-17,2023-11-18,Approved,Mumbai,TS
CASE101166,DataWorks,Data Analyst,174607,2021-03-26,2018-08-19,Approved,Mumbai,TN
CASE101167,DataWorks,Software Engineer,147157,2020-08-09,2018-12-04,Approved,Pune,TN
CASE101168,InfoSys,Data Analyst,40908,2023-01-20,2023-09-07,Approved,Hyderabad,MH
CASE101169,DataWorks,Data Analyst,148352,2021-03-02,2020-08-09,Pending,Hyderabad,TS
CASE101170,GlobalSoft,AI Engineer,135967,2021-04-01,2020-07-01,Approved,Bangalore,KA
CASE101171,InfoSys,Software Engineer,128989,2018-10-02,2019-09-08,Denied,Bangalore,MH
CASE101172,DataWorks,Data Analyst,75079,2022-09-15,2022-10-17,Approved,Hyderabad,KA
CASE101173,InfoSys,Consultant,151889,2021-01-05,2019-06-23,Approved,Hyderabad,TN
CASE101174,NextGen,Project Manager,89323,2023-02-04,2018-02-04,Approved,Bangalore,KA
CASE101175,TechCorp,Data Analyst,129909,2018-02-13,2019-01-25,Approved,Pune,TN
CASE101176,InfoSys,Software Engineer,86105,2019-12-19,2018-09-01,Approved,Pune,AP
CASE101177,TechCorp,Data Analyst,172957,2022-04-23,2022-01-29,Approved,Pune,TN
CASE101178,DataWorks,Project Manager,41049,2018-11-14,2019-08-16,Approved,Pune,TN
CASE101179,TechCorp,Software Engineer,93281,2019-06-18,2018-03-16,Approved,Bangalore,MH
CASE101180,InfoSys,AI Engineer,83271,2022-05-28,2019-10-26,Approved,Chennai,MH
CASE101181,NextGen,Software Engineer,106697,2022-11-12,2022-01-05,Approved,Mumbai,TS
CASE101182,DataWorks,AI Engineer,76534,2023-05-14,2021-05-25,Approved,Mumbai,TS
CASE101183,InfoSys,Software Engineer,133034,2021-03-23,2022-11-15,Approved,Mumbai,TN
CASE101184,DataWorks,Project Manager,98097,2018-08-25,2019-09-16,Approved,Mumbai,AP
CASE101185,GlobalSoft,Project Manager,65037,2020-06-11,2021-12-25,Pending,Bangalore,TS
CASE101186,TechCorp,Software Engineer,67278,2019-06-01,2023-05-11,Approved,Chennai,TN
CASE101187,GlobalSoft,Data Analyst,179344,2021-05-29,2020-06-05,Approved,Bangalore,MH
CASE101188,InfoSys,Project Manager,139173,2021-08-26,2023-04-07,Approved,Chennai,TS
CASE101189,NextGen,AI Engineer,78294,2022-06-10,2019-08-05,Approved,Bangalore,TS
CASE101190,DataWorks,AI Engineer,113277,2021-04-15,2018-03-14,Approved,Hyderabad,TN
CASE101191,TechCorp,Consultant,44694,2022-11-30,2018-07-28,Approved,Chennai,TN
CASE101192,DataWorks,AI Engineer,98150,2021-05-28,2022-02-19,Denied,Mumbai,KA
CASE101193,InfoSys,Consultant,107470,2018-02-07,2019-09-29,Approved,Chennai,KA
CASE101194,DataWorks,Software Engineer,61556,2019-10-16,2019-12-03,Approved,Pune,AP
CASE101195,TechCorp,Software Engineer,89086,2021-12-25,2020-08-14,Approved,Chennai,TS
CASE101196,InfoSys,Software Engineer,139468,2023-04-18,2018-02-16,Approved,Pune,KA
CASE101197,DataWorks,Data Analyst,73387,2020-01-17,2021-03-11,Approved,Pune,TN
CASE101198,NextGen,Data Analyst,108602,2021-05-11,2022-07-27,Denied,Hyderabad,TS
CASE101199,InfoSys,Consultant,176666,2020-04-20,2020-12-19,Denied,Chennai,KA
CASE101200,InfoSys,AI Engineer,42460,2023-01-04,2021-05-30,Denied,Hyderabad,AP
CASE101201,NextGen,AI Engineer,112356,2019-03-24,2019-10-08,Approved,Mumbai,AP
CASE101202,GlobalSoft,Software Engineer,94698,2022-02-27,2018-12-08,Denied,Chennai,AP
CASE101203,TechCorp,Project Manager,141746,2019-11-15,2023-10-04,Approved,Bangalore,AP
CASE101204,GlobalSoft,Data Analyst,56191,2018-05-05,2019-07-09,Denied,Bangalore,TN
CASE101205,DataWorks,Data Analyst,124631,2023-02-05,2022-02-12,Pending,Bangalore,AP
CASE101206,NextGen,Software Engineer,50529,2020-12-24,2020-07-06,Approved,Pune,MH
CASE101207,GlobalSoft,Data Analyst,72175,2020-03-03,2023-05-09,Approved,Bangalore,AP
CASE101208,InfoSys,Software Engineer,57675,2020-02-23,2023-07-31,Approved,Mumbai,KA
CASE101209,DataWorks,Consultant,86798,2021-06-21,2019-05-07,Denied,Chennai,TS
CASE101210,DataWorks,AI Engineer,110910,2022-03-31,2023-12-22,Approved,Chennai,KA
CASE101211,GlobalSoft,Project Manager,170400,2018-08-14,2019-04-03,Pending,Pune,TS
CASE101212,GlobalSoft,AI Engineer,118678,2019-04-10,2019-05-14,Approved,Pune,TN
CASE101213,NextGen,AI Engineer,102821,2019-10-05,2020-11-10,Approved,Pune,TS
CASE101214,TechCorp,Consultant,52204,2022-09-27,2022-06-23,Approved,Mumbai,MH
CASE101215,GlobalSoft,Data Analyst,47394,2018-10-20,2020-06-18,Denied,Chennai,AP
CASE101216,GlobalSoft,Project Manager,104814,2019-12-22,2020-07-04,Approved,Hyderabad,KA
CASE101217,InfoSys,Data Analyst,73593,2023-05-29,2021-07-27,Approved,Pune,TS
CASE101218,DataWorks,AI Engineer,155064,2021-11-05,2018-12-27,Approved,Bangalore,KA
CASE101219,TechCorp,Software Engineer,93365,2022-07-07,2023-06-09,Approved,Hyderabad,AP
CASE101220,InfoSys,AI Engineer,171515,2020-01-26,2019-09-09,Approved,Hyderabad,TN
CASE101221,NextGen,Data Analyst,143700,2018-06-15,2018-08-19,Approved,Pune,AP
CASE101222,NextGen,AI Engineer,137077,2022-09-23,2019-04-29,Denied,Bangalore,TN
CASE101223,GlobalSoft,Software Engineer,174537,2020-02-08,2020-05-05,Pending,Pune,KA
CASE101224,GlobalSoft,Consultant,108247,2023-02-06,2018-05-21,Approved,Pune,TN
CASE101225,NextGen,Data Analyst,94740,2021-05-26,2020-07-26,Denied,Bangalore,TN
CASE101226,GlobalSoft,AI Engineer,67898,2020-10-03,2022-12-08,Pending,Hyderabad,TN
CASE101227,TechCorp,Data Analyst,172991,2020-05-20,2022-05-17,Approved,Hyderabad,TN
CASE101228,GlobalSoft,Consultant,102613,2021-07-22,2021-06-16,Approved,Bangalore,TN
CASE101229,DataWorks,AI Engineer,136707,2020-12-11,2023-10-12,Approved,Hyderabad,TS
CASE101230,GlobalSoft,AI Engineer,151777,2021-10-29,2019-08-08,Approved,Mumbai,TN
CASE101231,InfoSys,Data Analyst,87003,2022-08-21,2023-04-18,Approved,Pune,TN
CASE101232,TechCorp,Data Analyst,88478,2021-10-18,2018-05-17,Denied,Mumbai,AP
CASE101233,InfoSys,Software Engineer,99030,2019-07-21,2021-11-24,Pending,Mumbai,AP
CASE101234,InfoSys,Consultant,173071,2020-11-03,2018-07-16,Approved,Mumbai,AP
CASE101235,DataWorks,Software Engineer,92800,2022-12-10,2021-12-05,Approved,Chennai,TN
CASE101236,TechCorp,AI Engineer,45445,2021-09-25,2023-10-14,Approved,Chennai,AP
CASE101237,TechCorp,Data Analyst,40246,2019-08-25,2022-04-05,Denied,Mumbai,TS
CASE101238,TechCorp,AI Engineer,71153,2022-04-12,2018-12-10,Approved,Pune,KA
CASE101239,TechCorp,AI Engineer,45212,2021-01-17,2020-04-25,Approved,Mumbai,AP
CASE101240,TechCorp,Project Manager,174411,2020-06-23,2020-02-12,Approved,Mumbai,AP
CASE101241,DataWorks,Project Manager,96238,2018-02-10,2020-05-05,Approved,Chennai,TS
CASE101242,GlobalSoft,AI Engineer,93871,2021-08-20,2021-02-28,Approved,Mumbai,MH
CASE101243,InfoSys,Data Analyst,140672,2021-07-15,2019-08-22,Denied,Pune,MH
CASE101244,TechCorp,AI Engineer,74607,2021-03-07,2021-06-22,Approved,Pune,TS
CASE101245,GlobalSoft,Project Manager,92055,2020-10-26,2023-06-12,Pending,Mumbai,AP
CASE101246,GlobalSoft,Data Analyst,144509,2018-08-30,2023-11-10,Approved,Pune,KA
CASE101247,InfoSys,AI Engineer,175467,2018-06-11,2019-02-03,Approved,Mumbai,AP
CASE101248,DataWorks,Consultant,167378,2020-10-15,2021-11-22,Approved,Chennai,TS
CASE101249,NextGen,Consultant,127687,2019-11-23,2018-05-04,Pending,Mumbai,TS
CASE101250,NextGen,AI Engineer,105078,2020-03-19,2022-01-28,Denied,Hyderabad,TN
CASE101251,GlobalSoft,Data Analyst,174763,2020-09-05,2023-10-29,Approved,Chennai,TS
CASE101252,InfoSys,AI Engineer,178542,2019-06-02,2020-03-04,Denied,Pune,TN
CASE101253,NextGen,AI Engineer,174913,2020-06-16,2023-10-15,Approved,Pune,TS
CASE101254,GlobalSoft,Project Manager,142652,2020-02-22,2022-01-03,Approved,Chennai,TN
CASE101255,DataWorks,Consultant,103197,2021-11-25,2023-12-18,Approved,Hyderabad,TN
CASE101256,NextGen,Project Manager,95773,2020-02-23,2018-12-25,Denied,Chennai,AP
CASE101257,GlobalSoft,Project Manager,158943,2021-03-25,2020-01-06,Approved,Bangalore,TN
CASE101258,GlobalSoft,AI Engineer,67584,2018-03-26,2018-09-08,Approved,Hyderabad,MH
CASE101259,TechCorp,Project Manager,175372,2022-10-02,2023-01-19,Approved,Chennai,TS
CASE101260,DataWorks,Consultant,43338,2020-10-30,2023-03-07,Approved,Bangalore,KA
CASE101261,TechCorp,Project Manager,102601,2018-05-18,2020-10-22,Approved,Mumbai,TS
CASE101262,InfoSys,Consultant,176559,2020-01-24,2020-11-17,Approved,Hyderabad,AP
CASE101263,TechCorp,Project Manager,76282,2020-06-24,2018-05-20,Approved,Mumbai,AP
CASE101264,TechCorp,Consultant,155447,2019-12-14,2018-06-28,Pending,Bangalore,TN
CASE101265,NextGen,Project Manager,135798,2018-06-05,2019-12-30,Approved,Pune,AP
CASE101266,GlobalSoft,Project Manager,170963,2019-02-12,2022-01-03,Approved,Pune,AP
CASE101267,DataWorks,Data Analyst,148611,2020-02-26,2018-05-18,Approved,Pune,TS
CASE101268,TechCorp,Consultant,51158,2021-06-02,2019-02-23,Approved,Mumbai,MH
CASE101269,DataWorks,Consultant,50547,2019-08-03,2019-03-31,Denied,Hyderabad,MH
CASE101270,TechCorp,Consultant,128713,2021-04-22,2021-01-26,Approved,Mumbai,TN
CASE101271,InfoSys,Software Engineer,42459,2021-05-03,2023-07-23,Denied,Mumbai,AP
CASE101272,TechCorp,Project Manager,103146,2019-07-08,2022-08-21,Denied,Pune,AP
CASE101273,NextGen,Consultant,143577,2019-01-31,2022-04-07,Denied,Mumbai,MH
CASE101274,GlobalSoft,Software Engineer,147761,2023-04-22,2023-08-19,Approved,Bangalore,TN
CASE101275,InfoSys,Data Analyst,143727,2022-08-14,2023-03-01,Approved,Chennai,AP
CASE101276,TechCorp,Consultant,90460,2022-06-08,2019-04-22,Approved,Chennai,TN
CASE101277,DataWorks,Consultant,122970,2021-03-03,2022-06-16,Denied,Chennai,TS
CASE101278,InfoSys,Software Engineer,55419,2021-08-25,2018-08-28,Approved,Pune,AP
CASE101279,InfoSys,Project Manager,75577,2023-03-05,2020-05-28,Approved,Pune,AP
CASE101280,TechCorp,Data Analyst,42921,2020-03-20,2023-03-08,Approved,Chennai,AP
CASE101281,InfoSys,Consultant,175748,2020-08-19,2023-06-18,Approved,Hyderabad,MH
CASE101282,DataWorks,Project Manager,80935,2019-06-26,2022-06-06,Denied,Chennai,MH
CASE101283,InfoSys,Data Analyst,165534,2020-10-29,2022-08-09,Approved,Mumbai,AP
CASE101284,DataWorks,AI Engineer,112828,2020-09-13,2023-05-01,Approved,Chennai,AP
CASE101285,TechCorp,AI Engineer,163649,2018-06-19,2023-05-03,Approved,Chennai,TS
CASE101286,GlobalSoft,Data Analyst,129062,2018-10-17,2019-08-30,Approved,Hyderabad,TS
CASE101287,InfoSys,Software Engineer,95152,2021-04-06,2022-08-23,Denied,Pune,TN
CASE101288,GlobalSoft,Data Analyst,136491,2021-09-29,2019-12-20,Denied,Pune,TN
CASE101289,DataWorks,Data Analyst,126569,2022-03-01,2020-03-30,Approved,Mumbai,MH
CASE101290,InfoSys,Software Engineer,112467,2021-03-14,2020-10-18,Approved,Chennai,KA
CASE101291,NextGen,Software Engineer,162537,2021-12-07,2020-10-03,Approved,Bangalore,TS
CASE101292,GlobalSoft,Project Manager,93806,2020-01-10,2021-10-17,Pending,Mumbai,TN
CASE101293,InfoSys,Project Manager,171332,2023-01-16,2022-09-14,Pending,Pune,TS
CASE101294,GlobalSoft,Software Engineer,115992,2019-08-11,2019-01-15,Denied,Hyderabad,TS
CASE101295,InfoSys,AI Engineer,62320,2020-01-05,2022-12-07,Approved,Pune,KA
CASE101296,TechCorp,AI Engineer,118971,2022-09-09,2019-04-01,Denied,Pune,TS
CASE101297,GlobalSoft,Data Analyst,88581,2019-04-02,2018-12-23,Denied,Hyderabad,KA
CASE101298,NextGen,Consultant,133645,2019-12-02,2021-03-05,Approved,Chennai,KA
CASE101299,NextGen,Data Analyst,60754,2020-09-05,2018-10-12,Approved,Chennai,TS
CASE101300,DataWorks,Data Analyst,109837,2021-08-18,2023-08-30,Pending,Pune,TS
CASE101301,InfoSys,Consultant,178279,2018-02-15,2023-07-14,Approved,Mumbai,TN
CASE101302,GlobalSoft,Software Engineer,163746,2023-04-02,2019-04-19,Approved,Bangalore,TS
CASE101303,DataWorks,AI Engineer,154780,2020-11-06,2018-05-23,Approved,Mumbai,TS
CASE101304,GlobalSoft,Data Analyst,127081,2022-05-21,2020-12-19,Approved,Mumbai,TS
CASE101305,InfoSys,Consultant,64016,2021-10-15,2019-12-20,Approved,Pune,TN
CASE101306,NextGen,Project Manager,100522,2021-07-08,2020-10-17,Approved,Pune,KA
CASE101307,TechCorp,Data Analyst,160896,2021-02-20,2023-03-19,Denied,Bangalore,TN
CASE101308,NextGen,AI Engineer,152099,2018-08-19,2018-03-17,Denied,Bangalore,TS
CASE101309,DataWorks,Software Engineer,144429,2020-08-07,2021-05-09,Denied,Bangalore,AP
CASE101310,TechCorp,Data Analyst,41924,2019-09-29,2020-02-26,Approved,Pune,TS
CASE101311,DataWorks,Data Analyst,125015,2018-04-22,2021-11-07,Approved,Pune,TN
CASE101312,InfoSys,Consultant,144987,2022-12-13,2021-06-10,Approved,Mumbai,TN
CASE101313,TechCorp,Project Manager,94333,2019-08-16,2021-07-03,Approved,Pune,MH
CASE101314,DataWorks,Project Manager,166372,2021-06-23,2019-08-17,Approved,Chennai,AP
CASE101315,InfoSys,Software Engineer,171378,2020-05-08,2021-10-02,Denied,Chennai,TN
CASE101316,NextGen,AI Engineer,128495,2019-01-26,2022-01-07,Approved,Bangalore,KA
CASE101317,InfoSys,Software Engineer,109767,2019-01-27,2018-05-05,Approved,Pune,TS
CASE101318,GlobalSoft,Data Analyst,144332,2018-11-24,2023-01-07,Approved,Chennai,KA
CASE101319,InfoSys,Data Analyst,79426,2021-05-23,2020-09-05,Approved,Mumbai,TN
CASE101320,InfoSys,Project Manager,46336,2023-03-03,2019-08-06,Pending,Hyderabad,TN
CASE101321,GlobalSoft,AI Engineer,152200,2020-01-17,2018-04-06,Pending,Mumbai,KA
CASE101322,DataWorks,Consultant,57256,2019-01-02,2022-03-08,Approved,Hyderabad,KA
CASE101323,DataWorks,AI Engineer,73719,2018-03-23,2019-11-26,Approved,Mumbai,MH
CASE101324,InfoSys,Data Analyst,82017,2020-03-16,2018-07-29,Approved,Chennai,TS
CASE101325,GlobalSoft,Consultant,85704,2020-04-01,2022-02-21,Denied,Pune,KA
CASE101326,GlobalSoft,AI Engineer,70013,2021-01-04,2018-08-20,Approved,Hyderabad,TS
CASE101327,NextGen,AI Engineer,119991,2022-03-31,2022-03-09,Approved,Pune,AP
CASE101328,DataWorks,Consultant,110258,2022-10-22,2022-04-21,Approved,Pune,TN
CASE101329,TechCorp,Data Analyst,118348,2022-03-07,2021-09-04,Approved,Chennai,KA
CASE101330,DataWorks,AI Engineer,50060,2022-11-01,2023-06-02,Approved,Bangalore,AP
CASE101331,DataWorks,Consultant,177727,2023-05-24,2019-12-25,Approved,Bangalore,TN
CASE101332,NextGen,Data Analyst,89923,2020-08-09,2022-10-16,Approved,Hyderabad,MH
CASE101333,TechCorp,Consultant,118563,2022-02-11,2021-07-21,Approved,Chennai,TN
CASE101334,NextGen,Consultant,175102,2019-01-07,2022-12-27,Pending,Pune,KA
CASE101335,TechCorp,AI Engineer,129779,2021-07-12,2022-10-18,Approved,Mumbai,AP
CASE101336,InfoSys,Data Analyst,139704,2018-09-21,2022-07-10,Approved,Mumbai,AP
CASE101337,TechCorp,AI Engineer,169157,2018-04-20,2021-05-12,Pending,Hyderabad,AP
CASE101338,NextGen,Software Engineer,150234,2023-04-23,2022-05-07,Denied,Hyderabad,TN
CASE101339,DataWorks,Software Engineer,101687,2018-11-03,2022-04-12,Approved,Hyderabad,TS
CASE101340,TechCorp,Data Analyst,76491,2021-05-08,2023-11-08,Approved,Chennai,TS
CASE101341,TechCorp,Consultant,112115,2018-08-14,2018-05-14,Approved,Mumbai,TN
CASE101342,GlobalSoft,AI Engineer,157935,2018-07-04,2022-09-21,Denied,Chennai,KA
CASE101343,DataWorks,AI Engineer,123778,2020-08-21,2020-11-06,Pending,Chennai,TN
CASE101344,InfoSys,Data Analyst,175853,2018-01-31,2022-12-03,Approved,Pune,TS
CASE101345,NextGen,Data Analyst,60448,2019-09-06,2023-11-25,Approved,Chennai,TN
CASE101346,InfoSys,Software Engineer,91550,2022-11-30,2020-12-07,Approved,Chennai,AP
CASE101347,DataWorks,Project Manager,89294,2018-04-09,2022-05-07,Approved,Pune,KA
CASE101348,TechCorp,Data Analyst,61446,2021-09-24,2021-05-22,Approved,Bangalore,KA
CASE101349,TechCorp,Project Manager,116579,2020-03-21,2022-09-07,Approved,Pune,MH
CASE101350,DataWorks,Data Analyst,154679,2022-12-26,2022-09-05,Approved,Hyderabad,TN
CASE101351,TechCorp,Consultant,125615,2021-07-13,2020-03-21,Approved,Bangalore,AP
CASE101352,TechCorp,Consultant,57101,2019-10-14,2020-09-02,Approved,Mumbai,TN
CASE101353,TechCorp,Software Engineer,68016,2020-03-24,2023-02-04,Approved,Chennai,MH
CASE101354,NextGen,Software Engineer,130481,2022-12-27,2019-08-01,Approved,Bangalore,MH
CASE101355,NextGen,Project Manager,92802,2021-10-05,2023-01-02,Approved,Mumbai,TN
CASE101356,GlobalSoft,Data Analyst,47549,2020-10-16,2023-03-26,Denied,Pune,TN
CASE101357,InfoSys,AI Engineer,87842,2020-09-04,2020-09-04,Approved,Pune,TN
CASE101358,DataWorks,Software Engineer,86539,2022-10-18,2018-03-02,Denied,Hyderabad,TS
CASE101359,DataWorks,AI Engineer,73717,2022-04-17,2019-10-04,Approved,Hyderabad,MH
CASE101360,DataWorks,AI Engineer,155042,2022-01-20,2023-03-10,Pending,Bangalore,KA
CASE101361,GlobalSoft,Data Analyst,167922,2023-01-13,2018-11-28,Denied,Chennai,TS
CASE101362,NextGen,Project Manager,132447,2018-03-29,2019-12-14,Approved,Pune,AP
CASE101363,GlobalSoft,Data Analyst,123402,2020-12-22,2018-10-14,Approved,Bangalore,KA
CASE101364,DataWorks,Software Engineer,82607,2020-07-10,2020-08-27,Approved,Bangalore,KA
CASE101365,InfoSys,AI Engineer,52823,2021-11-11,2023-09-18,Pending,Bangalore,KA
CASE101366,TechCorp,Data Analyst,69986,2022-12-20,2020-03-17,Approved,Hyderabad,MH
CASE101367,NextGen,Data Analyst,161682,2022-01-22,2020-02-01,Approved,Pune,AP
CASE101368,NextGen,Data Analyst,104325,2019-08-09,2021-06-12,Approved,Hyderabad,TS
CASE101369,GlobalSoft,Software Engineer,167925,2020-03-28,2023-10-03,Denied,Hyderabad,AP
CASE101370,NextGen,Project Manager,97771,2020-07-20,2023-09-04,Approved,Bangalore,TS
CASE101371,DataWorks,Data Analyst,94973,2022-07-18,2020-09-26,Approved,Mumbai,MH
CASE101372,DataWorks,Software Engineer,79107,2021-07-16,2018-05-13,Approved,Mumbai,AP
CASE101373,GlobalSoft,AI Engineer,97888,2023-04-02,2021-01-18,Approved,Mumbai,KA
CASE101374,DataWorks,Consultant,50956,2020-03-07,2021-02-13,Approved,Bangalore,AP
CASE101375,InfoSys,Software Engineer,126839,2023-05-12,2020-03-07,Approved,Chennai,MH
CASE101376,GlobalSoft,Consultant,141131,2020-10-15,2019-02-06,Denied,Pune,MH
CASE101377,InfoSys,Data Analyst,107594,2020-10-09,2019-12-10,Denied,Bangalore,MH
CASE101378,TechCorp,Data Analyst,51519,2020-08-30,2023-07-17,Denied,Bangalore,TS
CASE101379,InfoSys,Software Engineer,41832,2019-09-25,2018-08-20,Approved,Hyderabad,AP
CASE101380,TechCorp,Consultant,153922,2018-12-12,2022-07-14,Denied,Mumbai,KA
CASE101381,TechCorp,Data Analyst,145474,2019-12-25,2018-04-29,Approved,Bangalore,KA
CASE101382,InfoSys,AI Engineer,109715,2020-06-19,2024-01-07,Approved,Chennai,TN
CASE101383,GlobalSoft,Project Manager,111835,2022-08-11,2023-07-20,Pending,Pune,MH
CASE101384,DataWorks,Project Manager,113366,2021-01-06,2019-03-05,Denied,Chennai,KA
CASE101385,DataWorks,Data Analyst,77570,2021-10-20,2022-10-20,Approved,Bangalore,MH
CASE101386,TechCorp,Consultant,177687,2020-11-03,2018-08-06,Denied,Bangalore,KA
CASE101387,TechCorp,Data Analyst,78311,2018-05-16,2021-01-10,Pending,Hyderabad,AP
CASE101388,GlobalSoft,Consultant,130245,2021-08-20,2019-11-13,Approved,Chennai,TN
CASE101389,NextGen,AI Engineer,143187,2019-02-01,2022-05-04,Approved,Hyderabad,MH
CASE101390,InfoSys,Consultant,63434,2020-03-02,2022-03-14,Denied,Chennai,TS
CASE101391,TechCorp,Data Analyst,126879,2018-03-20,2019-09-09,Approved,Mumbai,TS
CASE101392,DataWorks,AI Engineer,55739,2022-11-14,2018-09-17,Approved,Mumbai,KA
CASE101393,GlobalSoft,Software Engineer,106202,2019-12-06,2021-03-29,Denied,Chennai,AP
CASE101394,InfoSys,Project Manager,138580,2020-09-08,2018-03-26,Approved,Hyderabad,MH
CASE101395,GlobalSoft,Data Analyst,119599,2021-12-12,2018-10-28,Approved,Mumbai,TN
CASE101396,InfoSys,Data Analyst,156770,2021-06-19,2021-02-27,Approved,Bangalore,AP
CASE101397,InfoSys,Data Analyst,79470,2020-12-10,2020-09-26,Approved,Pune,KA
CASE101398,TechCorp,AI Engineer,114965,2020-01-14,2022-05-02,Pending,Hyderabad,AP
CASE101399,GlobalSoft,Software Engineer,165332,2022-11-30,2021-11-08,Approved,Chennai,TN
CASE101400,GlobalSoft,Consultant,169681,2019-01-19,2021-04-20,Approved,Pune,AP
CASE101401,DataWorks,Software Engineer,154300,2019-01-10,2018-05-26,Pending,Pune,MH
CASE101402,DataWorks,AI Engineer,77997,2022-10-20,2018-12-19,Pending,Bangalore,KA
CASE101403,TechCorp,Data Analyst,137805,2018-07-25,2022-06-14,Approved,Hyderabad,TN
CASE101404,TechCorp,Project Manager,162202,2023-01-24,2019-01-25,Pending,Pune,KA
CASE101405,NextGen,Data Analyst,42526,2019-05-04,2018-02-27,Approved,Hyderabad,MH
CASE101406,DataWorks,Consultant,113339,2021-11-05,2021-07-08,Approved,Bangalore,TN
CASE101407,InfoSys,Project Manager,46574,2023-06-15,2021-12-19,Approved,Chennai,TN
CASE101408,GlobalSoft,Data Analyst,48733,2020-05-30,2022-11-01,Approved,Pune,KA
CASE101409,TechCorp,Project Manager,90290,2021-08-27,2023-03-13,Approved,Pune,AP
CASE101410,GlobalSoft,Software Engineer,112793,2021-10-30,2021-08-17,Approved,Pune,AP
CASE101411,GlobalSoft,AI Engineer,76051,2019-09-24,2023-03-20,Approved,Hyderabad,TS
CASE101412,NextGen,Data Analyst,55909,2019-08-15,2023-10-07,Approved,Pune,TS
CASE101413,DataWorks,Consultant,117338,2020-12-01,2022-04-22,Approved,Hyderabad,TN
CASE101414,TechCorp,Software Engineer,113432,2019-06-17,2020-02-13,Approved,Mumbai,KA
CASE101415,GlobalSoft,Data Analyst,68133,2019-06-06,2021-02-15,Approved,Mumbai,TN
CASE101416,TechCorp,Software Engineer,119062,2020-04-04,2022-10-18,Approved,Hyderabad,KA
CASE101417,InfoSys,Consultant,151546,2021-03-22,2022-12-14,Approved,Mumbai,MH
CASE101418,NextGen,Data Analyst,91458,2021-08-28,2019-09-02,Approved,Bangalore,TS
CASE101419,InfoSys,Consultant,95415,2021-08-10,2019-04-08,Approved,Bangalore,TN
CASE101420,TechCorp,Project Manager,94160,2019-08-21,2019-02-08,Approved,Mumbai,MH
CASE101421,TechCorp,Consultant,94399,2018-04-23,2021-05-25,Denied,Chennai,AP
