case_id,continent,country_of_applicant,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,visa_type,application_season,processing_center,processing_time_days,case_status
28547,Africa,India,Diploma,N,N,19920,1973,Northeast,30415.55,Hourly,Y,Work,Spring,Center A,223,Certified
28548,Europe,Nigeria,High School,Y,Y,38024,2007,Midwest,143307.07,Hourly,Y,Work,Summer,Center D,23,Certified
28549,Oceania,Brazil,Master's,N,N,39935,1973,Midwest,146134.52,Yearly,Y,Dependent,Winter,Center A,243,Certified
28550,Europe,China,PhD,Y,N,44933,1976,West,3572.82,Weekly,Y,Student,Fall,Center D,358,Certified
28551,Oceania,Canada,PhD,Y,Y,31964,1951,West,11397.23,Hourly,Y,Student,Spring,Center B,234,Certified
28552,Europe,UK,Bachelor's,Y,N,47688,1975,Midwest,95547.2,Yearly,Y,Student,Summer,Center A,92,Certified
28553,South America,Nigeria,PhD,Y,N,5995,1983,West,80964.65,Hourly,N,PR,Fall,Center D,295,Certified
28554,South America,Brazil,PhD,N,Y,14068,1978,Midwest,144633.87,Yearly,Y,Dependent,Fall,Center A,284,Certified
28555,North America,UAE,Master's,Y,N,48863,1981,West,75616.16,Yearly,Y,PR,Fall,Center D,337,Certified
28556,South America,Japan,High School,N,Y,36245,1962,West,35805.53,Weekly,Y,PR,Summer,Center B,318,Certified
28557,Oceania,Brazil,Diploma,Y,N,6018,1978,West,122606.89,Weekly,Y,Work,Spring,Center C,123,Certified
28558,Europe,China,Bachelor's,Y,N,39347,1963,Northeast,54078.72,Weekly,Y,Student,Fall,Center C,191,Certified
28559,Oceania,Canada,PhD,N,N,47544,2006,South,115001.28,Yearly,Y,Tourist,Summer,Center B,175,Certified
28560,North America,Brazil,Bachelor's,N,N,46919,2006,South,104989.67,Hourly,Y,Student,Summer,Center B,192,Certified
28561,North America,India,Master's,Y,N,13402,1959,South,37999.23,Weekly,N,Business,Fall,Center B,37,Certified
28562,Asia,Germany,PhD,Y,Y,18259,2013,Midwest,85441.87,Hourly,Y,Student,Spring,Center D,127,Certified
28563,South America,Canada,Master's,Y,N,36838,1975,West,11401.06,Monthly,Y,Tourist,Summer,Center D,162,Denied
28564,Africa,UAE,PhD,Y,N,10817,1980,Northeast,19066.53,Weekly,Y,Business,Summer,Center A,25,Certified
28565,Africa,China,PhD,Y,Y,30901,1955,Northeast,41755.53,Monthly,Y,Tourist,Spring,Center B,33,Certified
28566,Asia,Germany,Diploma,Y,N,30912,2013,West,80214.84,Weekly,Y,Student,Fall,Center C,273,Certified
28567,Europe,Australia,PhD,Y,N,18762,2006,Northeast,68860.07,Monthly,Y,Tourist,Fall,Center A,272,Certified
28568,Asia,Canada,Bachelor's,N,Y,34147,1997,Northeast,51335.92,Yearly,N,Work,Spring,Center A,171,Certified
28569,Europe,Nigeria,Bachelor's,Y,Y,19398,2023,Northeast,145768.14,Monthly,Y,Business,Spring,Center B,139,Certified
28570,South America,Nigeria,High School,Y,Y,35638,1997,Midwest,33028.44,Weekly,Y,PR,Fall,Center C,111,Certified
28571,South America,UK,PhD,Y,N,45644,1953,Midwest,40836.18,Weekly,Y,Tourist,Fall,Center B,60,Certified
28572,North America,UAE,Diploma,Y,N,9120,1986,West,59165.14,Yearly,N,Student,Spring,Center A,41,Certified
28573,North America,Australia,Bachelor's,Y,N,11866,2015,South,122940.81,Monthly,N,PR,Spring,Center B,147,Denied
28574,North America,Nigeria,Diploma,Y,Y,22124,1988,South,132118.29,Hourly,Y,Tourist,Spring,Center D,166,Certified
28575,North America,UAE,Master's,Y,N,16986,2008,South,130738.83,Yearly,Y,Tourist,Spring,Center B,266,Certified
28576,Africa,Canada,Diploma,Y,N,18300,1992,South,99420.42,Weekly,Y,Business,Spring,Center D,280,Certified
28577,North America,Canada,Master's,Y,N,3971,1985,West,127106.75,Monthly,Y,PR,Summer,Center B,306,Certified
28578,North America,Canada,Bachelor's,Y,Y,49417,1998,South,101808.22,Yearly,Y,Student,Fall,Center B,313,Certified
28579,North America,India,PhD,Y,Y,19430,1957,West,10802.89,Monthly,Y,Business,Spring,Center C,108,Denied
28580,Europe,Brazil,High School,Y,N,37648,1953,South,103747.94,Yearly,Y,Dependent,Fall,Center B,215,Certified
28581,Oceania,UAE,Master's,N,N,29528,1965,South,4608.7,Monthly,N,PR,Fall,Center D,192,Denied
28582,North America,Canada,PhD,N,N,46192,1979,Midwest,17623.32,Yearly,Y,Business,Spring,Center C,246,Certified
28583,Asia,UK,Diploma,Y,N,7839,1954,South,82221.44,Weekly,Y,Business,Summer,Center D,90,Certified
28584,North America,Germany,High School,N,N,38208,1968,Midwest,96664.74,Monthly,Y,Student,Summer,Center C,268,Certified
28585,North America,Germany,Master's,Y,N,4740,1952,West,17876.92,Weekly,Y,PR,Summer,Center C,28,Certified
28586,Africa,Nigeria,Master's,Y,N,35993,1969,Midwest,30541.04,Monthly,Y,Business,Spring,Center A,216,Certified
28587,Oceania,Australia,Bachelor's,Y,Y,20070,2014,Midwest,82309.91,Monthly,N,Work,Spring,Center B,134,Certified
28588,North America,Nigeria,Diploma,N,Y,35339,1954,South,81578.97,Hourly,Y,Business,Spring,Center C,311,Certified
28589,Oceania,Japan,Bachelor's,N,N,30918,2013,South,100182.3,Yearly,Y,Business,Fall,Center C,294,Certified
28590,Europe,Australia,Master's,Y,Y,37483,1959,Northeast,37982.47,Weekly,Y,Dependent,Spring,Center C,276,Certified
28591,South America,UK,Bachelor's,Y,N,28190,1957,Midwest,21499.69,Weekly,Y,Business,Summer,Center A,351,Certified
28592,Oceania,Nigeria,PhD,N,N,26789,1951,South,42273.15,Hourly,Y,Work,Fall,Center B,314,Certified
28593,Oceania,UAE,Diploma,Y,Y,43640,2023,Midwest,58990.27,Yearly,Y,Student,Summer,Center A,196,Certified
28594,North America,Germany,Bachelor's,Y,Y,37926,1966,Midwest,18926.57,Monthly,Y,Business,Summer,Center A,132,Certified
28595,North America,India,Master's,Y,N,36277,1979,West,56843.6,Yearly,Y,Business,Summer,Center D,96,Certified
28596,North America,UK,High School,N,N,6658,2022,West,6553.89,Weekly,Y,Dependent,Summer,Center D,30,Certified
28597,Africa,India,High School,Y,Y,7026,2002,South,129377.86,Weekly,Y,Dependent,Summer,Center C,122,Denied
28598,South America,China,PhD,Y,N,18398,1967,South,82590.08,Monthly,Y,Student,Spring,Center C,92,Denied
28599,Africa,Canada,Bachelor's,N,N,48669,1972,West,95824.77,Hourly,Y,Dependent,Fall,Center B,18,Denied
28600,Africa,Nigeria,Diploma,N,N,40818,2013,Northeast,56725.21,Monthly,N,Dependent,Fall,Center D,321,Certified
28601,Africa,Nigeria,Diploma,Y,N,37253,1968,Northeast,36406.05,Hourly,Y,Business,Winter,Center D,286,Certified
28602,Europe,Germany,Master's,Y,Y,44542,1977,Northeast,148185.03,Monthly,Y,Work,Summer,Center C,76,Certified
28603,South America,UAE,High School,N,Y,44523,1962,Northeast,64810.23,Yearly,Y,Dependent,Winter,Center C,85,Certified
28604,Europe,China,Diploma,Y,Y,34204,1963,Northeast,24055.42,Yearly,Y,PR,Fall,Center B,321,Certified
28605,Europe,UK,High School,Y,Y,12202,1955,South,105380.62,Weekly,Y,Dependent,Spring,Center D,71,Certified
28606,South America,UK,High School,N,Y,48111,1957,West,107272.24,Monthly,Y,Student,Summer,Center B,89,Certified
28607,Europe,Australia,Diploma,Y,N,1008,1978,South,74798.89,Hourly,Y,Student,Fall,Center C,70,Certified
28608,South America,Brazil,Bachelor's,Y,Y,27829,1999,Midwest,103839.77,Monthly,Y,PR,Fall,Center C,285,Certified
28609,Oceania,Australia,High School,N,Y,48358,2015,Northeast,19608.95,Hourly,Y,Student,Fall,Center D,348,Certified
28610,Oceania,Australia,Master's,Y,Y,14408,2003,Midwest,99095.43,Monthly,Y,Tourist,Summer,Center A,163,Certified
28611,North America,India,High School,Y,N,13548,1965,West,28207.68,Yearly,Y,PR,Summer,Center A,346,Certified
28612,Africa,Canada,Diploma,Y,Y,48458,1983,Midwest,138842.91,Weekly,Y,Tourist,Fall,Center B,170,Certified
28613,Oceania,Canada,High School,Y,N,4475,1973,Northeast,84943.41,Weekly,Y,Work,Summer,Center D,319,Denied
28614,Oceania,Canada,PhD,N,Y,47933,1951,West,48157.08,Hourly,Y,Business,Spring,Center C,182,Denied
28615,Europe,UK,PhD,Y,N,6742,1963,South,75759.95,Hourly,Y,PR,Summer,Center B,57,Denied
28616,South America,UK,Bachelor's,Y,N,25651,1960,Northeast,57595.62,Hourly,Y,Tourist,Summer,Center D,286,Certified
28617,Asia,Germany,High School,Y,Y,20640,2001,Midwest,85563.67,Hourly,N,Student,Fall,Center B,198,Certified
28618,Europe,Japan,Bachelor's,N,N,16225,1953,West,65129.06,Weekly,Y,Business,Fall,Center C,50,Certified
28619,Europe,Canada,Bachelor's,Y,Y,8993,2008,West,104697.95,Hourly,Y,Tourist,Fall,Center B,205,Certified
28620,South America,Canada,PhD,Y,Y,9907,1955,Midwest,107293.4,Yearly,Y,Student,Summer,Center A,311,Certified
28621,Asia,China,PhD,N,Y,35332,1966,Northeast,74971.82,Yearly,Y,Work,Winter,Center C,364,Denied
28622,Asia,Australia,High School,N,Y,21508,2008,Northeast,23603.1,Yearly,N,Tourist,Winter,Center C,100,Denied
28623,North America,Nigeria,Bachelor's,N,Y,22598,1976,West,60007.74,Hourly,Y,Student,Winter,Center A,24,Denied
28624,Europe,UAE,Diploma,Y,Y,46477,1952,South,61063.49,Yearly,Y,Tourist,Spring,Center B,157,Certified
28625,Africa,Japan,Master's,Y,Y,46117,1953,Northeast,132572.46,Weekly,Y,Student,Summer,Center A,183,Certified
28626,Oceania,Canada,Bachelor's,Y,N,32160,1982,West,45027.31,Yearly,Y,Work,Fall,Center A,235,Certified
28627,Europe,Brazil,Bachelor's,N,N,42480,1968,Northeast,19932.04,Hourly,Y,Student,Fall,Center A,317,Certified
28628,Africa,Japan,Bachelor's,N,N,36633,1954,West,43837.88,Yearly,Y,Dependent,Fall,Center A,137,Certified
28629,Africa,Nigeria,Bachelor's,N,N,26384,1998,West,138823.44,Yearly,Y,PR,Winter,Center C,114,Certified
28630,South America,Canada,High School,Y,N,37775,2021,West,46281.67,Monthly,Y,Student,Fall,Center C,179,Certified
28631,Europe,Nigeria,PhD,Y,N,26149,2004,Midwest,46252.31,Hourly,Y,Tourist,Fall,Center D,40,Certified
28632,South America,UK,PhD,Y,N,38873,1974,South,86114.73,Hourly,Y,PR,Winter,Center C,57,Certified
28633,North America,Australia,Diploma,Y,N,22106,1983,South,56943.09,Weekly,Y,Dependent,Spring,Center A,344,Certified
28634,Africa,Germany,PhD,N,N,33399,2023,Northeast,101427.8,Monthly,Y,Work,Summer,Center C,116,Certified
28635,Asia,Canada,Diploma,Y,N,31635,1981,South,48770.75,Yearly,Y,Student,Fall,Center C,226,Certified
28636,Africa,UAE,Master's,N,N,9391,1950,West,76792.95,Yearly,Y,Dependent,Winter,Center C,364,Certified
28637,North America,China,PhD,Y,N,21962,1990,Midwest,15249.83,Yearly,Y,Tourist,Spring,Center C,106,Certified
28638,Africa,Japan,Master's,N,N,43772,1950,South,19634.57,Hourly,Y,Work,Fall,Center A,47,Certified
28639,South America,Japan,Master's,Y,Y,536,1960,West,76163.07,Weekly,Y,PR,Winter,Center C,126,Certified
28640,Europe,Australia,Bachelor's,Y,Y,9620,1958,Midwest,129857.74,Hourly,Y,Dependent,Spring,Center D,233,Certified
28641,Asia,Australia,Diploma,N,Y,27527,1984,West,12232.71,Monthly,Y,PR,Fall,Center B,203,Certified
28642,South America,Nigeria,High School,Y,Y,36722,1998,South,8216.58,Yearly,Y,Work,Spring,Center B,283,Certified
28643,Oceania,UK,Diploma,N,N,49257,1964,Northeast,41986.24,Monthly,Y,Business,Winter,Center B,259,Certified
28644,Europe,Germany,Diploma,N,N,44966,2022,Midwest,83600.3,Yearly,Y,Dependent,Fall,Center B,123,Denied
28645,Asia,Nigeria,Diploma,Y,N,44775,2017,Midwest,22897.6,Monthly,Y,Tourist,Summer,Center A,250,Certified
28646,North America,Nigeria,High School,N,Y,29109,1996,Midwest,84271.55,Monthly,Y,Dependent,Summer,Center D,74,Certified
28647,Africa,India,PhD,Y,N,13984,1960,Northeast,75039.79,Yearly,Y,Work,Winter,Center B,27,Certified
28648,Asia,India,High School,Y,N,17589,2007,West,147204.55,Hourly,Y,PR,Fall,Center B,272,Certified
28649,Oceania,Japan,High School,Y,N,12918,2000,Northeast,139921.54,Weekly,Y,Student,Summer,Center B,198,Certified
28650,North America,Germany,High School,Y,N,4650,2017,Northeast,93786.74,Weekly,Y,Dependent,Winter,Center D,143,Certified
28651,Europe,Canada,Master's,Y,N,6001,1995,South,144877.42,Monthly,Y,Tourist,Fall,Center A,193,Certified
28652,Asia,Nigeria,Master's,N,Y,723,1950,South,81584.24,Hourly,Y,Dependent,Summer,Center A,132,Certified
28653,North America,UK,Bachelor's,N,N,43141,1954,Northeast,78722.03,Yearly,Y,Work,Spring,Center D,220,Certified
28654,Europe,India,Diploma,Y,N,1987,2005,Northeast,132135.67,Weekly,Y,Work,Winter,Center B,49,Certified
28655,South America,Nigeria,Diploma,Y,N,21346,1960,Northeast,31697.5,Hourly,Y,Tourist,Fall,Center D,320,Certified
28656,Africa,Nigeria,PhD,N,N,20760,2023,Northeast,55756.25,Hourly,Y,Work,Summer,Center D,257,Certified
28657,North America,China,PhD,Y,Y,20489,1965,West,10504.18,Hourly,N,Work,Summer,Center C,55,Certified
28658,South America,Nigeria,High School,N,N,9771,1974,South,122546.4,Monthly,Y,PR,Winter,Center B,355,Certified
28659,Oceania,UAE,Master's,Y,Y,26591,1992,West,54525.45,Weekly,N,Dependent,Summer,Center C,150,Certified
28660,Oceania,Australia,Bachelor's,Y,N,33045,1976,Northeast,4896.05,Weekly,Y,Dependent,Fall,Center C,271,Denied
28661,Europe,UAE,PhD,Y,N,33084,1957,Midwest,114524.73,Weekly,Y,PR,Fall,Center B,13,Certified
28662,Asia,UAE,High School,N,Y,19249,1969,Northeast,24127.13,Yearly,Y,Work,Winter,Center D,112,Certified
28663,Africa,UAE,Master's,Y,N,37829,1985,Midwest,131562.63,Hourly,Y,Business,Spring,Center C,246,Certified
28664,Europe,China,Master's,N,Y,9454,2005,Midwest,17769.03,Yearly,Y,PR,Summer,Center B,127,Certified
28665,North America,Australia,Diploma,N,Y,46814,1968,South,95840.38,Weekly,Y,PR,Spring,Center A,19,Certified
28666,Africa,Nigeria,Bachelor's,Y,N,5580,2019,Midwest,27295.64,Hourly,Y,Work,Winter,Center C,49,Certified
28667,South America,Canada,PhD,Y,Y,9385,2000,Northeast,128317.03,Yearly,Y,Tourist,Spring,Center D,75,Certified
28668,Africa,UAE,Bachelor's,N,N,45027,2018,West,92695.65,Hourly,Y,PR,Spring,Center C,80,Certified
28669,South America,India,Diploma,Y,Y,30446,2013,Midwest,4917.09,Monthly,Y,Business,Winter,Center B,50,Denied
28670,Europe,Brazil,PhD,Y,Y,35966,1977,Midwest,131772.46,Hourly,Y,PR,Spring,Center C,346,Certified
28671,Asia,China,PhD,Y,Y,3984,1958,Midwest,47198.43,Weekly,Y,Dependent,Spring,Center A,137,Certified
28672,Oceania,UK,PhD,Y,N,23001,2010,South,18777.55,Yearly,Y,Student,Summer,Center B,134,Certified
28673,Africa,Canada,High School,Y,Y,17022,1966,Northeast,82371.37,Hourly,Y,Tourist,Spring,Center A,207,Certified
28674,Asia,Australia,Bachelor's,N,N,39352,1955,Midwest,80611.51,Hourly,N,Business,Fall,Center D,249,Certified
28675,Asia,Australia,Bachelor's,Y,N,28948,2002,Midwest,73565.78,Yearly,N,Dependent,Spring,Center D,80,Denied
28676,Oceania,Australia,PhD,Y,Y,13174,1951,West,114872.99,Yearly,Y,Business,Summer,Center C,164,Certified
28677,Africa,Germany,Diploma,N,N,8789,1999,West,25489.04,Weekly,Y,Tourist,Spring,Center A,292,Denied
28678,Africa,Japan,High School,Y,N,12256,2017,South,85901.24,Hourly,Y,Tourist,Spring,Center B,190,Certified
28679,Asia,Nigeria,PhD,N,Y,23735,1976,Northeast,133072.57,Hourly,Y,Work,Summer,Center B,69,Denied
28680,North America,Australia,Master's,Y,Y,31932,1964,Northeast,91642.14,Yearly,N,Student,Fall,Center C,327,Certified
28681,North America,UK,Bachelor's,Y,N,2840,2021,West,56922.28,Monthly,Y,Student,Fall,Center A,355,Certified
28682,Africa,India,Bachelor's,Y,Y,45347,1989,South,13993.09,Hourly,Y,Work,Summer,Center A,68,Certified
28683,Asia,Germany,High School,N,N,14983,1968,Northeast,129438.57,Yearly,Y,Work,Winter,Center A,85,Certified
28684,Asia,Brazil,PhD,Y,Y,47952,1992,Midwest,72171.14,Weekly,Y,PR,Fall,Center A,36,Certified
28685,Europe,Japan,High School,Y,Y,12298,1971,Northeast,141415.91,Yearly,Y,PR,Fall,Center A,352,Certified
28686,Asia,Germany,High School,N,N,25367,2009,West,109942.16,Yearly,Y,Tourist,Fall,Center C,349,Denied
28687,Oceania,Australia,Bachelor's,Y,N,37488,1985,Midwest,5996.9,Hourly,Y,Work,Summer,Center A,8,Certified
28688,North America,UK,Master's,Y,Y,16071,1976,Northeast,109478.46,Hourly,N,Dependent,Summer,Center B,331,Certified
28689,Europe,UK,Master's,N,Y,1897,2024,South,111346.38,Yearly,Y,PR,Summer,Center B,156,Certified
28690,Oceania,China,High School,Y,Y,3890,1988,Northeast,42744.6,Yearly,Y,PR,Fall,Center B,204,Certified
28691,North America,Australia,Diploma,N,Y,3096,1950,South,14813.63,Hourly,Y,Work,Winter,Center D,62,Denied
28692,Oceania,Japan,Master's,Y,Y,33113,1955,West,104588.07,Monthly,N,Work,Summer,Center C,179,Certified
28693,South America,Australia,PhD,Y,N,15376,2003,Midwest,57816.68,Weekly,Y,Dependent,Winter,Center A,29,Certified
28694,Africa,Australia,PhD,Y,Y,48333,1981,South,11164.12,Yearly,N,Dependent,Spring,Center A,59,Certified
28695,South America,Germany,PhD,N,N,9682,1977,South,127708.45,Weekly,Y,Student,Fall,Center D,151,Certified
28696,Africa,Japan,Diploma,Y,Y,43854,1993,Northeast,37748.06,Monthly,N,Dependent,Fall,Center D,110,Denied
28697,North America,Japan,High School,N,N,39271,2022,West,69980.34,Weekly,Y,Dependent,Fall,Center A,181,Denied
28698,North America,Germany,High School,Y,Y,3952,1951,Northeast,131710.23,Yearly,Y,Student,Fall,Center B,139,Certified
28699,South America,Japan,Diploma,Y,Y,40059,2019,South,37887.66,Weekly,N,Dependent,Fall,Center D,198,Certified
28700,Oceania,India,Diploma,N,N,9782,2002,West,49161.2,Monthly,Y,Student,Summer,Center A,124,Certified
28701,Africa,Brazil,High School,Y,N,33102,2006,West,6593.15,Monthly,Y,Dependent,Fall,Center B,91,Denied
28702,Africa,Germany,Bachelor's,N,N,37355,1983,Northeast,109465.74,Hourly,Y,Business,Winter,Center A,70,Certified
28703,Europe,Australia,Bachelor's,N,N,44093,2018,West,142396.73,Weekly,Y,Tourist,Spring,Center C,43,Certified
28704,Asia,Brazil,Master's,Y,N,42193,1975,Northeast,90787.76,Weekly,Y,Work,Spring,Center A,10,Certified
28705,Oceania,Brazil,High School,Y,N,34531,2000,Northeast,39047.47,Weekly,Y,Tourist,Winter,Center D,208,Certified
28706,Oceania,Canada,High School,N,Y,18817,1972,Midwest,90930.74,Hourly,Y,Student,Fall,Center C,249,Certified
28707,Europe,UAE,Bachelor's,Y,N,29012,1966,Midwest,61833.53,Monthly,N,Dependent,Fall,Center A,164,Denied
28708,North America,UK,Bachelor's,Y,Y,24025,1998,South,39644.93,Hourly,Y,Student,Winter,Center B,61,Denied
28709,South America,Nigeria,PhD,Y,Y,17838,2016,West,128637.76,Weekly,N,Tourist,Spring,Center C,75,Certified
28710,Oceania,Germany,Bachelor's,Y,Y,39687,1950,West,134653.33,Hourly,N,Dependent,Fall,Center C,179,Denied
28711,Africa,Brazil,Diploma,Y,N,44377,1955,Midwest,74933.31,Yearly,Y,PR,Winter,Center C,41,Certified
28712,Europe,China,Diploma,N,N,48273,1976,Northeast,26894.28,Hourly,Y,PR,Fall,Center A,282,Denied
28713,South America,UAE,High School,N,N,29249,2004,Midwest,131135.07,Hourly,Y,Business,Fall,Center C,111,Certified
28714,South America,Germany,Bachelor's,N,N,21660,1982,Midwest,71753.96,Yearly,Y,Business,Summer,Center A,102,Certified
28715,Oceania,Australia,High School,N,N,39906,2011,Midwest,44504.4,Weekly,Y,Business,Fall,Center B,15,Certified
28716,Asia,Australia,Diploma,Y,Y,27270,1984,Midwest,109147.57,Weekly,Y,Tourist,Summer,Center C,127,Denied
28717,Africa,China,Master's,Y,Y,3393,1968,Midwest,77676.5,Yearly,Y,Student,Winter,Center A,13,Certified
28718,South America,India,PhD,Y,Y,30991,1979,Northeast,24733.27,Weekly,Y,PR,Fall,Center C,196,Certified
28719,Africa,Germany,Master's,Y,Y,49922,2017,Northeast,10285.35,Hourly,Y,Dependent,Spring,Center D,64,Certified
28720,Oceania,UK,PhD,Y,N,17737,1997,West,23611.1,Yearly,Y,PR,Winter,Center A,230,Certified
28721,Europe,Brazil,Master's,Y,N,10563,2013,Northeast,146539.64,Yearly,Y,PR,Spring,Center C,115,Certified
28722,South America,UK,Master's,Y,Y,59,1996,South,80711.03,Yearly,Y,Tourist,Winter,Center D,102,Certified
28723,Oceania,India,Master's,Y,N,24842,1988,Midwest,82006.27,Weekly,Y,PR,Winter,Center C,324,Certified
28724,South America,Brazil,Master's,Y,N,35262,2016,South,42620.12,Hourly,Y,Work,Spring,Center A,22,Certified
28725,Europe,UK,PhD,N,N,18064,1991,West,83592.58,Hourly,N,Student,Fall,Center B,312,Certified
28726,Africa,UAE,PhD,Y,Y,31014,1952,West,28692.3,Weekly,Y,Work,Fall,Center C,120,Certified
28727,Africa,Germany,PhD,Y,Y,35990,1995,Northeast,82204.65,Weekly,N,PR,Winter,Center A,192,Denied
28728,South America,India,Diploma,Y,Y,35316,2012,South,69549.54,Monthly,Y,Student,Winter,Center D,19,Certified
28729,Oceania,UAE,Diploma,Y,Y,5741,1954,Midwest,3640.52,Monthly,Y,Student,Fall,Center A,58,Certified
28730,Europe,Brazil,Master's,N,Y,8063,2007,West,16620.63,Monthly,Y,Tourist,Fall,Center C,11,Certified
28731,North America,China,Master's,Y,N,41773,2020,Northeast,89894.73,Hourly,Y,Business,Summer,Center B,364,Certified
28732,Africa,Australia,High School,Y,Y,36315,1951,Northeast,19842.03,Hourly,N,Dependent,Spring,Center C,306,Certified
28733,North America,Japan,Diploma,N,Y,48252,1969,Northeast,61148.78,Yearly,Y,Work,Winter,Center B,33,Certified
28734,South America,Australia,High School,Y,Y,35331,1972,Northeast,1149.61,Weekly,Y,PR,Spring,Center A,122,Denied
28735,North America,Germany,PhD,Y,Y,4286,1955,Northeast,100177.34,Yearly,Y,Business,Summer,Center D,55,Certified
28736,Oceania,UAE,Diploma,Y,Y,19763,1991,Midwest,69990.2,Hourly,N,PR,Spring,Center A,38,Certified
28737,Oceania,UK,Bachelor's,N,Y,24098,2021,Midwest,117981.05,Weekly,Y,PR,Summer,Center B,307,Certified
28738,North America,Brazil,Diploma,N,Y,18448,1994,Northeast,50826.4,Hourly,Y,Student,Fall,Center B,276,Certified
28739,Oceania,Japan,PhD,N,Y,39655,1981,South,67526.41,Yearly,Y,PR,Winter,Center C,83,Certified
28740,Africa,Australia,Bachelor's,Y,Y,25332,1959,South,51923.05,Weekly,N,Work,Spring,Center B,254,Certified
28741,South America,India,PhD,Y,Y,48308,2009,South,44660.94,Weekly,Y,Tourist,Summer,Center A,135,Certified
28742,North America,Japan,Master's,N,N,45101,1968,West,10143.81,Monthly,Y,PR,Winter,Center A,155,Certified
28743,Africa,Japan,Diploma,Y,N,12229,2015,West,125352.16,Weekly,Y,Student,Winter,Center D,128,Certified
28744,North America,Australia,Master's,N,Y,49259,1969,Northeast,118267.3,Hourly,Y,Dependent,Summer,Center B,322,Certified
28745,Africa,Canada,Diploma,Y,Y,30566,2018,West,48904.24,Monthly,Y,Dependent,Spring,Center B,83,Certified
28746,Oceania,India,Diploma,Y,N,21,1995,South,22004.01,Weekly,Y,Work,Winter,Center B,262,Certified
28747,Oceania,Brazil,Diploma,Y,Y,1677,2023,Midwest,109422.87,Weekly,Y,PR,Fall,Center A,318,Denied
28748,South America,Japan,Bachelor's,Y,N,41825,2006,South,13366.06,Hourly,N,PR,Fall,Center C,140,Certified
28749,Oceania,Germany,High School,Y,Y,24769,1978,Northeast,119875.0,Weekly,Y,Business,Summer,Center A,182,Certified
28750,Europe,UK,High School,N,Y,17697,1979,Midwest,130260.93,Weekly,Y,PR,Fall,Center B,81,Certified
28751,Africa,UAE,High School,Y,N,21307,1968,Midwest,128294.94,Weekly,Y,Tourist,Summer,Center A,196,Certified
28752,Africa,India,Diploma,Y,N,24919,1953,Northeast,65255.84,Yearly,Y,Business,Fall,Center A,358,Certified
28753,North America,Japan,Bachelor's,N,Y,45828,1981,West,143425.41,Monthly,N,Business,Fall,Center C,70,Certified
28754,South America,Canada,High School,Y,N,26702,1977,Northeast,95149.81,Monthly,N,Work,Spring,Center A,179,Certified
28755,Asia,Brazil,Diploma,Y,Y,21290,2015,South,41404.49,Hourly,N,PR,Fall,Center C,331,Certified
28756,Oceania,China,Bachelor's,Y,Y,5142,1996,Midwest,59707.94,Hourly,N,Work,Summer,Center A,137,Certified
28757,Asia,Brazil,PhD,Y,Y,34980,1969,South,142086.9,Hourly,Y,Student,Fall,Center B,41,Certified
28758,Europe,UK,Bachelor's,N,N,24012,1999,South,126751.6,Hourly,Y,Work,Summer,Center A,353,Certified
28759,South America,Brazil,Master's,Y,Y,36921,2020,Midwest,109098.38,Yearly,Y,PR,Fall,Center A,176,Certified
28760,Africa,China,Bachelor's,N,N,24718,2022,Midwest,76446.86,Yearly,Y,Dependent,Winter,Center B,205,Certified
28761,Asia,Nigeria,Diploma,Y,N,33756,2019,Northeast,64697.18,Monthly,Y,Tourist,Spring,Center B,128,Denied
28762,Europe,UK,High School,N,N,48124,1964,Northeast,2472.56,Weekly,Y,PR,Fall,Center A,216,Certified
28763,South America,Australia,PhD,N,N,24471,2004,Midwest,5775.04,Weekly,Y,PR,Summer,Center C,360,Certified
28764,Europe,China,High School,N,Y,39960,1957,South,64736.77,Monthly,Y,Student,Fall,Center C,225,Certified
28765,Oceania,India,Bachelor's,Y,N,32678,1956,South,16982.68,Weekly,N,PR,Winter,Center D,149,Certified
28766,Asia,China,Master's,N,N,3359,1963,Midwest,36065.76,Monthly,N,Dependent,Summer,Center C,318,Certified
28767,North America,Germany,Master's,Y,N,18357,1970,West,91250.13,Monthly,N,PR,Winter,Center B,91,Certified
28768,North America,Germany,Master's,N,Y,35237,1955,Northeast,139495.3,Monthly,N,PR,Fall,Center C,110,Certified
28769,South America,Australia,Bachelor's,N,Y,36662,1998,South,80874.0,Monthly,Y,Tourist,Winter,Center C,45,Certified
28770,Europe,India,Bachelor's,Y,N,7082,1961,South,119414.79,Yearly,Y,Tourist,Summer,Center C,264,Certified
28771,Africa,Australia,Bachelor's,N,Y,7808,2007,Northeast,105029.76,Monthly,Y,Dependent,Summer,Center A,350,Certified
28772,Asia,UAE,PhD,Y,N,32655,2004,Northeast,24634.75,Hourly,Y,Student,Summer,Center B,69,Certified
28773,North America,Australia,Diploma,Y,N,45387,1978,South,93166.68,Yearly,N,Work,Winter,Center B,169,Certified
28774,North America,Japan,High School,N,N,1012,1960,Midwest,110398.75,Yearly,Y,Tourist,Spring,Center D,230,Certified
28775,Europe,UK,Master's,N,N,17312,2008,Northeast,52000.54,Monthly,Y,Business,Summer,Center A,32,Certified
